PROJECT : Irise (France)
HOUSEHOLD : 2000900
APPLIANCE : Site consumption ()

DATE(dd/mm/yy)	TIME(hh:mm)	STATE	ENERGY(Wh)
22/01/98	13:40	0	000294
22/01/98	13:50	0	000085
22/01/98	14:00	0	000058
22/01/98	14:10	0	000176
22/01/98	14:20	0	000067
22/01/98	14:30	0	000047
22/01/98	14:40	0	000190
22/01/98	14:50	0	000061
22/01/98	15:00	0	000043
22/01/98	15:10	0	000190
22/01/98	15:20	0	000055
22/01/98	15:30	0	000114
22/01/98	15:40	0	000183
22/01/98	15:50	0	000081
22/01/98	16:00	0	000046
22/01/98	16:10	0	000136
22/01/98	16:20	0	000089
22/01/98	16:30	0	000039
22/01/98	16:40	0	000192
22/01/98	16:50	0	000048
22/01/98	17:00	0	000037
22/01/98	17:10	0	000199
22/01/98	17:20	0	000069
22/01/98	17:30	0	000051
22/01/98	17:40	0	000157
22/01/98	17:50	0	000201
22/01/98	18:00	0	000387
22/01/98	18:10	0	000330
22/01/98	18:20	0	000265
22/01/98	18:30	0	000205
22/01/98	18:40	0	000281
22/01/98	18:50	0	000176
22/01/98	19:00	0	000186
22/01/98	19:10	0	000254
22/01/98	19:20	0	000154
22/01/98	19:30	0	000071
22/01/98	19:40	0	000178
22/01/98	19:50	0	000156
22/01/98	20:00	0	000162
22/01/98	20:10	0	000162
22/01/98	20:20	0	000164
22/01/98	20:30	0	000051
22/01/98	20:40	0	000159
22/01/98	20:50	0	000099
22/01/98	21:00	0	000078
22/01/98	21:10	0	000110
22/01/98	21:20	0	000117
22/01/98	21:30	0	000038
22/01/98	21:40	0	000115
22/01/98	21:50	0	000056
22/01/98	22:00	0	000031
22/01/98	22:10	0	000067
22/01/98	22:20	0	000018
22/01/98	22:30	0	000024
22/01/98	22:40	0	000075
22/01/98	22:50	0	000027
22/01/98	23:00	0	000056
22/01/98	23:10	0	000019
22/01/98	23:20	0	000028
22/01/98	23:30	0	000034
22/01/98	23:40	0	000065
22/01/98	23:50	0	000018
23/01/98	00:00	0	000028
23/01/98	00:10	0	000053
23/01/98	00:20	0	000028
23/01/98	00:30	0	000040
23/01/98	00:40	0	000059
